Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
14,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
15,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
16,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
17,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
