Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
7,8,293.015,371.381,0,282.949,755.475,0,-5.78461,28.7245,326.238,4.65015,-33.9201,311.541,40904.1,-7182.15,-1617.47,-45336.9,-3722.74,3693.83
7,9,293.054,371.292,0,283.413,756.141,0,-5.6744,28.9213,326.763,5.88274,-33.5212,311.52,40940.8,-7206.36,-1595.14,-45126.4,-3867.04,3646.23
8,0,292.959,370.755,0,284.368,754.259,0,-5.65684,28.953,328.332,5.77712,-34.1107,310.562,40961.2,-7209.91,-1679.83,-45572.2,-4151.67,3665.61
8,1,293.008,371.361,0,283.12,754.293,0,-5.74217,28.8291,326.934,5.77498,-33.9536,310.565,40984.9,-7195.09,-1693.07,-45562,-3763.91,3625.69
8,2,292.514,370.353,0,282.843,755.271,0,-5.81728,29.0348,329.111,5.92574,-34.0383,312.755,40926,-7080.63,-1803.86,-45577.6,-3703.81,3670.06
8,3,293.048,370.937,0,283.011,754.977,0,-5.65366,28.6483,327.371,5.68194,-34.0298,311.444,40900.8,-7218.03,-1666.83,-45478.1,-3740.71,3670.63
8,4,292.67,370.07,0,283.028,755.411,0,-5.57356,28.9012,329.822,5.86094,-33.7875,311.702,40921,-7147.21,-1532.43,-45380.3,-3749.19,3680.39
8,5,293.474,370.696,0,283.114,754.015,0,-5.85518,28.8179,328.598,5.57499,-33.8408,310.742,40974.8,-7384.79,-1649.84,-45674.4,-3764.23,3638.73
8,6,293.236,370.773,0,283.06,754.179,0,-6.01019,29.1799,327.898,5.66414,-33.9282,310.042,40912.9,-7291.05,-1649.2,-45520.7,-3739.22,3648.33
8,7,293.267,371.374,0,282.933,755.209,0,-5.85417,29.4694,327.722,5.70366,-33.8767,311.967,41087.7,-7297.53,-1679.77,-45482,-3722.56,3661.87
8,8,292.52,370.93,0,282.544,754.614,0,-5.81493,30.89,328.504,6.01881,-34.1567,310.219,41040.2,-7069.35,-1668.76,-45411.7,-3581.25,3670.86
8,9,293.156,370.902,0,283.122,754.773,0,-5.69878,29.2683,327.897,5.52981,-33.53,310.39,40954.8,-7264.94,-1648.86,-45387.3,-3762.51,3658.48
9,0,293.091,371.64,0,283.198,753.973,0,-5.74107,28.7914,326.506,5.50981,-34.0538,308.296,41022.1,-7212.71,-1505.81,-45327.9,-3760.69,3702.84
9,1,293.346,371.18,0,283.155,757.19,0,-5.76406,29.0264,327.55,5.1149,-34.1049,310.484,41002.6,-7319.47,-1617.98,-44651,-3774.07,3710.3
9,2,293.316,370.693,0,283.209,754.497,0,-5.81183,29.5957,328.859,6.02065,-33.8156,310.029,41006.5,-7338.74,-1640.14,-45420.3,-3785.27,3501.4
9,3,293.143,371.151,0,283.521,754.258,0,-6.21308,28.7567,328.075,6.04626,-33.8804,309.334,41059,-7264.53,-1617.55,-45392.3,-3873.09,3622.22
9,4,291.928,370.748,0,282.616,754.306,0,-5.70982,28.8402,328.855,5.88908,-33.7029,309.428,41024.1,-6882.24,-1632.85,-45391.2,-3594.31,3676.17
9,5,293.321,371.905,0,283.055,754.408,0,-3.60479,28.6398,327.894,6.38192,-33.8179,309.686,41283.6,-7319.04,-1635.2,-45397.5,-3733.28,3702.76
9,6,292.726,371.337,0,282.181,754.737,0,-5.67892,30.1374,327.807,5.84155,-33.5957,310.041,41086.2,-7121.88,-1660.42,-45347.6,-3466.55,3645.21
9,7,293.164,371.762,0,283.154,755.031,0,-8.0637,28.9389,327.994,5.72886,-34.016,308.726,41249.1,-7269.54,-1648.05,-45064.4,-3752.31,3628.1
9,8,293.437,370.311,0,282.99,754.046,0,-5.63677,28.8106,330.001,5.91479,-33.6542,308.729,41022.7,-7404.27,-1502.71,-45369,-3701.68,3734.52
9,9,293.054,370.849,0,283.317,754.644,0,-5.90309,28.662,328.684,5.79694,-34.0633,309.602,41035.8,-7248.92,-1653.25,-45311.9,-3813.43,3644.67
10,0,293.178,371.167,0,283.242,755.36,0,-5.83348,29.8889,328.246,5.79374,-34.1193,310.744,41085.6,-7279.78,-1675.01,-45256.6,-3804.01,3720.79
10,1,293.074,371.164,0,283.316,754.091,0,-5.92443,28.9542,328.336,5.75846,-33.6989,308.642,41095.6,-7247.6,-1639.53,-45342.4,-3801.12,3752.47
10,2,292.235,370.926,0,283.089,754.909,0,-5.86126,28.247,327.809,5.8406,-33.8419,310.035,40952,-6960.93,-1607.13,-45293.3,-3747.94,3591.41
10,3,292.614,371.015,0,283.033,754.157,0,-5.85762,28.0929,327.372,5.75745,-33.699,308.643,40926.4,-7075.82,-1652.66,-45322.2,-3713.92,3734.69
10,4,293.397,371.059,0,285.413,754.852,0,-5.81142,28.8856,328.511,5.67033,-33.4806,309.24,41083.2,-7357.78,-1631.45,-45194.9,-4457,3704.2
10,5,292.755,371.099,0,283.047,754.134,0,-5.90221,32.8254,328.767,5.79741,-34.3911,308.469,41128.6,-7152.43,-1654.75,-45303.7,-3716.03,3648.77
10,6,293.761,371.776,0,283.299,754.959,0,-5.7341,29.1064,325.718,5.77529,-33.9975,309.168,40967.4,-7413.56,-1578.54,-45151.3,-3802.6,3739.48
10,7,292.976,371.306,0,284.95,754.287,0,-5.89876,29.1639,327.112,5.72828,-35.266,308.555,40989.2,-7188.69,-1612.59,-45269,-4304.4,3660.97
10,8,293.766,370.926,0,282.9,757.852,0,-5.87284,28.9145,327.639,5.73294,-33.8666,316.422,40930.8,-7459.05,-1605.84,-45295.3,-3765.5,3528.29
10,9,294.015,371.685,0,283.283,754.092,0,-5.22654,28.9345,327.728,5.64398,-33.8058,308.286,41190.5,-7542.69,-1587.78,-45289.7,-3786.63,3582.66
11,0,293.683,370.577,0,282.889,754.728,0,-6.07697,28.3098,328.518,5.52755,-33.7274,309.95,40925.7,-7451.86,-1499.09,-45336.9,-3685.06,3560.08
11,1,293.919,371.834,0,283.557,753.985,0,-6.20272,28.77,326.068,5.758,-33.6978,308.899,41030.5,-7473.04,-1619.04,-45412.8,-3878.88,3662.67
11,2,293.468,368.607,0,283.403,753.939,0,-6.09658,28.9088,328.595,5.42193,-33.6035,308.374,40287.8,-7382.71,-1620.69,-45349.8,-3824.79,3591.61
11,3,293.388,370.862,0,283.66,754.29,0,-6.25599,29.0902,328.252,5.7136,-33.4731,308.545,40986.2,-7348.93,-1573.61,-45266.7,-3906.13,3636.9
11,4,292.269,371.643,0,282.617,754.353,0,-6.30657,30.2528,327.813,5.82304,-33.3415,309.159,41187.4,-6972.25,-1556.44,-45337.3,-3591.48,3592.03
11,5,292.163,370.382,0,283.434,754.948,0,-6.37826,27.1052,328.948,5.81801,-33.9709,309.156,40915.4,-6961.59,-1581.05,-45152.9,-3843.94,3529.33
11,6,293.492,370.812,0,283.876,754.094,0,-6.23379,29.0202,328.512,5.87062,-33.7139,307.668,41002.4,-7388.99,-1631.84,-45198.4,-3961.65,3610.09
11,7,293.82,372.374,0,283.476,754.294,0,-6.06732,28.9338,325.11,5.53204,-33.6734,308.547,41085.3,-7419.06,-1551.52,-45265.7,-3849.54,3574
11,8,293.505,371.336,0,283.625,750.551,0,-6.58674,29.2082,327.202,5.52499,-33.5362,307.763,41010.1,-7363.69,-1640.43,-46302.6,-3885.44,3573.8
11,9,293.516,370.684,0,283.526,754.152,0,-6.4125,28.9989,328.691,4.86065,-33.7811,307.942,40982.6,-7400.88,-1542.81,-45220.6,-3857.29,3596.46
12,0,293.987,371.016,0,283.421,754.145,0,-6.14239,29.3316,328.693,5.30991,-33.7359,307.503,41091.9,-7555.65,-1543.38,-45158.4,-3819.5,3650.52
12,1,293.841,370.956,0,283.215,753.463,0,-6.27399,28.1812,327.554,5.33125,-33.7705,307.229,40929.8,-7481.77,-1601.88,-45327.6,-3752.9,3390.32
12,2,293.448,370.393,0,283.259,754.67,0,-6.28139,29.0801,329.561,5.28571,-33.3379,308.371,40995.3,-7398.13,-1614.07,-45123.9,-3780.31,3557.32
12,3,292.934,370.89,0,282.662,753.836,0,-6.26026,28.465,328.513,5.21603,-34.1384,308.032,41028,-7205.59,-1595.09,-45331.1,-3592.39,3564.11
